"Region","Size","Cores","MemoryGB"
"indiasouthcentral","Standard_D2lds_v6","2","4"
"indiasouthcentral","Standard_B2als_v2","2","4"
"indiasouthcentral","Standard_D2als_v6","2","4"
"indiasouthcentral","Standard_D2alds_v6","2","4"
"indiasouthcentral","Standard_F2als_v6","2","4"
"indonesiacentral","Basic_A2","2","3.5"
"indonesiacentral","Standard_A2","2","3.5"
"indonesiacentral","Standard_F2","2","4"
"indonesiacentral","Standard_F2s","2","4"
"indonesiacentral","Standard_A2_v2","2","4"
"indonesiacentral","Standard_B2s","2","4"
"indonesiacentral","Standard_F2s_v2","2","4"
"indonesiacentral","Standard_D2ls_v5","2","4"
"indonesiacentral","Standard_D2lds_v5","2","4"
"indonesiacentral","Standard_D2plds_v5","2","4"
"indonesiacentral","Standard_D2pls_v5","2","4"
"indonesiacentral","Standard_B2pls_v2","2","4"
"indonesiacentral","Standard_B2ls_v2","2","4"
"indonesiacentral","Standard_B2als_v2","2","4"
"indonesiacentral","Standard_D2alds_v6","2","4"
"indonesiacentral","Standard_D2als_v6","2","4"
"indonesiacentral","Standard_D2pls_v6","2","4"
"indonesiacentral","Standard_D2plds_v6","2","4"
"indonesiacentral","Standard_D2ls_v6","2","4"
"indonesiacentral","Standard_D2lds_v6","2","4"
"indonesiacentral","Standard_F2als_v6","2","4"
"indonesiacentral","Standard_D2als_v7","2","4"
"indonesiacentral","Standard_D2alds_v7","2","4"
"indonesiacentral","Standard_F2als_v7","2","4"
"indonesiacentral","Standard_F2alds_v7","2","4"
"indonesiacentral","Standard_D2ls_v7","2","4"
"indonesiacentral","Standard_D2lds_v7","2","4"
"japaneast","Standard_D2plds_v5","2","4"
"japaneast","Standard_D2pls_v5","2","4"
"japaneast","Standard_B2pls_v2","2","4"
"japaneast","Standard_A2_v2","2","4"
"japaneast","Standard_B2s","2","4"
"japaneast","Standard_F2","2","4"
"japaneast","Standard_F2s","2","4"
"japaneast","Standard_F2s_v2","2","4"
"japaneast","Standard_D2ls_v5","2","4"
"japaneast","Standard_D2lds_v5","2","4"
"japaneast","Standard_B2ls_v2","2","4"
"japaneast","Standard_D2ls_v6","2","4"
"japaneast","Standard_D2lds_v6","2","4"
"japaneast","Standard_B2als_v2","2","4"
"japaneast","Standard_D2pls_v6","2","4"
"japaneast","Standard_D2plds_v6","2","4"
"japaneast","Standard_D2als_v7","2","4"
"japaneast","Standard_D2alds_v7","2","4"
"japaneast","Standard_F2als_v7","2","4"
"japaneast","Standard_F2alds_v7","2","4"
"japaneast","Standard_D2als_v6","2","4"
"japaneast","Standard_D2alds_v6","2","4"
"japaneast","Standard_F2als_v6","2","4"
"japanwest","Standard_F2s_v2","2","4"
"japanwest","Standard_B2s","2","4"
"japanwest","Standard_F2","2","4"
"japanwest","Standard_F2s","2","4"
"japanwest","Standard_A2_v2","2","4"
"japanwest","Standard_D2ls_v5","2","4"
"japanwest","Standard_D2lds_v5","2","4"
"japanwest","Standard_B2ls_v2","2","4"
"japanwest","Standard_D2ls_v6","2","4"
"japanwest","Standard_D2lds_v6","2","4"
"japanwest","Standard_B2als_v2","2","4"
"japanwest","Standard_D2als_v6","2","4"
"japanwest","Standard_D2alds_v6","2","4"
"japanwest","Standard_F2als_v6","2","4"
"japanwest","Standard_D2pls_v6","2","4"
"japanwest","Standard_D2plds_v6","2","4"
"koreacentral","Standard_B2als_v2","2","4"
"koreacentral","Standard_A2_v2","2","4"
"koreacentral","Standard_B2s","2","4"
"koreacentral","Standard_F2s_v2","2","4"
"koreacentral","Standard_F2","2","4"
"koreacentral","Standard_F2s","2","4"
"koreacentral","Standard_D2ls_v5","2","4"
"koreacentral","Standard_D2lds_v5","2","4"
"koreacentral","Standard_B2ls_v2","2","4"
"koreacentral","Standard_D2ls_v6","2","4"
"koreacentral","Standard_D2lds_v6","2","4"
"koreacentral","Standard_D2pls_v6","2","4"
"koreacentral","Standard_D2plds_v6","2","4"
"koreacentral","Standard_D2als_v6","2","4"
"koreacentral","Standard_D2alds_v6","2","4"
"koreacentral","Standard_F2als_v6","2","4"
"malaysiawest","Standard_D2als_v6","2","4"
"malaysiawest","Standard_D2alds_v6","2","4"
"malaysiawest","Standard_F2als_v6","2","4"
"malaysiawest","Standard_A2_v2","2","4"
